"Connector Name","Connector PartNumber","Pin Name","Pin PreferredSignal","Signal Name"
"TO_161_RH_(111_RH)","","30","EQ_F:PLUG_LOCK_L","EQ_F:PLUG_LOCK_L"
"TO_161_RH_(111_RH)","","35","S_AHB_G_ECU#2_024","S_AHB_G_ECU#2_024"
"TO_161_RH_(111_RH)","","36","S_AHB_G_ECU#2_025","S_AHB_G_ECU#2_025"
"TO_161_RH_(111_RH)","","11","EMB_S_PVM_APP-21CY_007","EMB_S_PVM_APP-21CY_007"
"TO_161_RH_(111_RH)","","24","EQ_F:AMD2_L","EQ_F:AMD2_L"
"TO_161_RH_(111_RH)","","10","EMB_S_PVM_APP-21CY_006","EMB_S_PVM_APP-21CY_006"
"TO_161_RH_(111_RH)","","39","S_MGR_011","S_MGR_011"
"TO_161_RH_(111_RH)","","32","EQ_HV_ECU-PHV_LIN3","EQ_HV_ECU-PHV_LIN3"
"TO_161_RH_(111_RH)","","16","SLD_S_SPVM-21CY_007","SLD_S_SPVM-21CY_007"
"TO_161_RH_(111_RH)","","17","SLD_S_SPVM-21CY_008","SLD_S_SPVM-21CY_008"
"TO_161_RH_(111_RH)","","6","SLD_S_MGR_008","SLD_S_MGR_008"
"TO_161_RH_(111_RH)","","31","EQ_HV_ECU-HV_LIN3","EQ_HV_ECU-HV_LIN3"
"TO_161_RH_(111_RH)","","26","CANFD_DS_LOCAL1_BUS_HI","CANFD_DS_LOCAL1_BUS_HI"
"TO_161_RH_(111_RH)","","12","EMB_S_PVM_APP-21CY_008","EMB_S_PVM_APP-21CY_008"
"TO_161_RH_(111_RH)","","49","TW_S_CLEARANCE_SNR_018","TW_S_CLEARANCE_SNR_018"
"TO_161_RH_(111_RH)","","25","EQ_F:IGCT_NO.2_L","EQ_F:IGCT_NO.2_L"
"TO_161_RH_(111_RH)","","34","S_AHB_G_ECU#2_021","S_AHB_G_ECU#2_021"
"TO_161_RH_(111_RH)","","14","SLD_DRN_S_SPVM-21CY_102","SLD_DRN_S_SPVM-21CY_102"
"TO_161_RH_(111_RH)","","51","S_CLEARANCE_SNR_001","S_CLEARANCE_SNR_001"
"TO_161_RH_(111_RH)","","46","TW_S_CLEARANCE_SNR_002","TW_S_CLEARANCE_SNR_002"
"TO_161_RH_(111_RH)","","9","EMB_DRN_S_PVM_APP-21CY_102","EMB_DRN_S_PVM_APP-21CY_102"
"TO_161_RH_(111_RH)","","33","S_AHB_G_ECU#2_020","S_AHB_G_ECU#2_020"
"TO_161_RH_(111_RH)","","50","EQ_F:ECU-IGR_NO.3_L","EQ_F:ECU-IGR_NO.3_L"
"TO_161_RH_(111_RH)","","5","SLD_S_MGR_007","SLD_S_MGR_007"
"TO_161_RH_(111_RH)","","38","S_MGR_010","S_MGR_010"
"TO_161_RH_(111_RH)","","3","SLD_S_MGR_005","SLD_S_MGR_005"
"TO_161_RH_(111_RH)","","20","SLD_S_AHB_G_ECU#2_009","SLD_S_AHB_G_ECU#2_009"
"TO_161_RH_(111_RH)","","13","SLD_S_SPVM-21CY_005","SLD_S_SPVM-21CY_005"
"TO_161_RH_(111_RH)","","4","SLD_S_MGR_006","SLD_S_MGR_006"
"TO_161_RH_(111_RH)","","19","GND_SLD_DRN_AHB_G_ECU#2_103","GND_SLD_DRN_AHB_G_ECU#2_103"
"TO_161_RH_(111_RH)","","15","SLD_S_SPVM-21CY_006","SLD_S_SPVM-21CY_006"
"TO_161_RH_(111_RH)","","27","CANFD_DS_LOCAL1_BUS_LO","CANFD_DS_LOCAL1_BUS_LO"
"TO_161_RH_(111_RH)","","18","SLD_S_AHB_G_ECU#2_008","SLD_S_AHB_G_ECU#2_008"
"TO_161_RH_(111_RH)","","21","TW_S_REMOTE_ANT_001","TW_S_REMOTE_ANT_001"
"TO_161_RH_(111_RH)","","7","SLD_S_MGR_009","SLD_S_MGR_009"
"TO_161_RH_(111_RH)","","47","TW_S_CLEARANCE_SNR_003","TW_S_CLEARANCE_SNR_003"
"TO_161_RH_(111_RH)","","1","SLD_S_MGR_004","SLD_S_MGR_004"
"TO_161_RH_(111_RH)","","8","EMB_S_PVM_APP-21CY_005","EMB_S_PVM_APP-21CY_005"
"TO_161_RH_(111_RH)","","22","TW_S_REMOTE_ANT_002","TW_S_REMOTE_ANT_002"
