Connector Name,Pin Name,Pin Name nunique,Pin Name count,Connector PartNumber,Pin PreferredSignal,Signal Name,check_signal
TO_111_LH_(113),1,1,1,KANGO-12326,TW_S_CLEARANCE_SNR_002,TW_S_CLEARANCE_SNR_002,1
TO_111_LH_(113),2,1,1,KANGO-12326,TW_S_CLEARANCE_SNR_003,TW_S_CLEARANCE_SNR_003,1
TO_111_LH_(113),3,1,1,KANGO-12326,TW_S_CLEARANCE_SNR_017,TW_S_CLEARANCE_SNR_017,1
TO_111_LH_(113),4,1,1,KANGO-12326,TW_S_CLEARANCE_SNR_018,TW_S_CLEARANCE_SNR_018,1
TO_111_LH_(113),5,1,1,KANGO-12326,TW_S_REMOTE_ANT_001,TW_S_REMOTE_ANT_001,1
TO_111_LH_(113),6,1,1,KANGO-12326,TW_S_REMOTE_ANT_002,TW_S_REMOTE_ANT_002,1
TO_111_LH_(113),7,1,1,KANGO-12326,S_CLEARANCE_SNR_001,S_CLEARANCE_SNR_001,1
TO_111_LH_(113),8,1,1,KANGO-12326,S_CLEARANCE_SNR_016,S_CLEARANCE_SNR_016,1
TO_111_LH_(113),9,1,1,KANGO-12326,na,na,2
TO_111_LH_(113),10,1,1,KANGO-12326,na,na,2
TO_111_LH_(113),11,1,1,KANGO-12326,na,na,2
TO_111_LH_(113),12,1,1,KANGO-12326,na,na,2
TO_111_LH_(113),13,1,1,KANGO-12326,na,na,2
TO_111_LH_(121),1,1,1,,EQ_F:SBW_IGCT-HV_L,EQ_F:SBW_IGCT-HV_L,1
TO_111_LH_(121),2,1,1,,EQ_F:P-CON_MTR_NO.1_L,EQ_F:P-CON_MTR_NO.1_L,1
TO_111_LH_(121),3,1,1,,CAN_SBW_BUS_HI,CAN_SBW_BUS_HI,1
TO_111_LH_(121),4,1,1,,CAN_SBW_BUS_LO,CAN_SBW_BUS_LO,1
TO_111_LH_(121),5,1,1,,BATT_ENG_E_W/P-ZR_+B,BATT_ENG_E_W/P-ZR_+B,1
TO_111_LH_(121),6,1,1,,EQ_EFI_ECU-TNGA_LIN,EQ_EFI_ECU-TNGA_LIN,1
TO_111_LH_(121),7,1,1,,EQ_ENG_E_W/P-TNGA_PLUSB,EQ_ENG_E_W/P-TNGA_PLUSB,1
TO_111_LH_(121),8,1,1,,EQ_F:ECU-IGP_NO.3_L,EQ_F:ECU-IGP_NO.3_L,1
