"Symbol Name","Pin Name","Pin CenterY","Pin CenterX","Pin Width","Pin Height"
"C-74463","3","4671.0","-28.0","0.0","0.0"
"C-74463","5","3638.0","-1230.0","0.0","0.0"
"C-74463","1","5575.0","1087.0","0.0","0.0"
"C-74463","4","5568.0","-1152.0","0.0","0.0"
"C-74463","2","3681.0","1045.0","0.0","0.0"
"C-81334","19","3405.0","5399.0","0.0","0.0"
"C-81334","7","14599.0","3840.0","0.0","0.0"
"C-81334","11","15766.0","2287.0","0.0","0.0"
"C-81334","3","13453.0","5383.0","0.0","0.0"
"C-81334","24","3375.0","3847.0","0.0","0.0"
"C-81334","22","5703.0","3844.0","0.0","0.0"
"C-81334","13","13483.0","2301.0","0.0","0.0"
"C-81334","15","11155.0","2313.0","0.0","0.0"
"C-81334","16","6846.0","5415.0","0.0","0.0"
"C-81334","20","2249.0","5366.0","0.0","0.0"
"C-81334","25","2211.0","3798.0","0.0","0.0"
"C-81334","14","12322.0","2312.0","0.0","0.0"
"C-81334","27","5669.0","2313.0","0.0","0.0"
"C-81334","10","11165.0","3828.0","0.0","0.0"
"C-81334","6","15800.0","3865.0","0.0","0.0"
"C-81334","18","4543.0","5385.0","0.0","0.0"
"C-81334","4","12325.0","5364.0","0.0","0.0"
"C-81334","29","3385.0","2318.0","0.0","0.0"
"C-81334","17","5685.0","5383.0","0.0","0.0"
"C-81334","2","14617.0","5373.0","0.0","0.0"
"C-81334","8","13477.0","3866.0","0.0","0.0"
"C-81334","9","12354.0","3817.0","0.0","0.0"
"C-81334","12","14580.0","2304.0","0.0","0.0"
"C-81334","21","6822.0","3819.0","0.0","0.0"
"C-81334","23","4560.0","3778.0","0.0","0.0"
"C-81334","5","11138.0","5368.0","0.0","0.0"
"C-81334","1","15789.0","5332.0","0.0","0.0"
"C-81334","26","6831.0","2302.0","0.0","0.0"
"C-81334","30","2231.0","2332.0","0.0","0.0"
"C-81334","28","4562.0","2315.0","0.0","0.0"
"C-81341","1","2688.0","7104.0","0.0","0.0"
"C-81341","24","6144.0","3840.0","0.0","0.0"
"C-81341","59","28224.0","5568.0","0.0","0.0"
"C-81341","51","18816.0","5376.0","0.0","0.0"
"C-81341","33","4608.0","2304.0","0.0","0.0"
"C-81341","19","11520.0","5376.0","0.0","0.0"
"C-81341","21","2688.0","3840.0","0.0","0.0"
"C-81341","44","21888.0","7104.0","0.0","0.0"
"C-81341","67","25152.0","4032.0","0.0","0.0"
"C-81341","27","9600.0","3840.0","0.0","0.0"
"C-81341","43","20736.0","6912.0","0.0","0.0"
"C-81341","32","3456.0","2496.0","0.0","0.0"
"C-81341","31","2304.0","2496.0","0.0","0.0"
"C-81341","76","24576.0","2304.0","0.0","0.0"
"C-81341","20","12672.0","5568.0","0.0","0.0"
"C-81341","39","11328.0","2304.0","0.0","0.0"
"C-81341","25","7296.0","3840.0","0.0","0.0"
"C-81341","68","26496.0","3840.0","0.0","0.0"
"C-81341","80","29184.0","2304.0","0.0","0.0"
"C-81341","34","5760.0","2304.0","0.0","0.0"
"C-81341","26","8448.0","4032.0","0.0","0.0"
"C-81341","69","27648.0","3840.0","0.0","0.0"
"C-81341","60","29184.0","5568.0","0.0","0.0"
"C-81341","6","8448.0","7104.0","0.0","0.0"
"C-81341","75","23424.0","2304.0","0.0","0.0"
"C-81341","47","25344.0","6912.0","0.0","0.0"
"C-81341","16","7872.0","5568.0","0.0","0.0"
"C-81341","66","24000.0","3840.0","0.0","0.0"
"C-81341","11","2112.0","5568.0","0.0","0.0"
"C-81341","28","10752.0","3840.0","0.0","0.0"
"C-81341","78","26880.0","2304.0","0.0","0.0"
"C-81341","64","21696.0","3840.0","0.0","0.0"
"C-81341","42","19584.0","6912.0","0.0","0.0"
"C-81341","37","9216.0","2496.0","0.0","0.0"
"C-81341","12","3456.0","5568.0","0.0","0.0"
"C-81341","77","25728.0","2304.0","0.0","0.0"
"C-81341","23","4992.0","3840.0","0.0","0.0"
"C-81341","52","19968.0","5568.0","0.0","0.0"
"C-81341","14","5760.0","5568.0","0.0","0.0"
"C-81341","40","12480.0","2304.0","0.0","0.0"
"C-81341","50","28800.0","6912.0","0.0","0.0"
"C-81341","13","4416.0","5568.0","0.0","0.0"
"C-81341","5","7296.0","7104.0","0.0","0.0"
